,song_id,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
109,3Fj47GNK2kUF0uaEDgXLaD,Billie Eilish,wish you were gay,85,0.39,0.853,221543,0.351,9.38e-06,7,0.752,-10.198,1,0.241,118.028,4,0.282
110,0fea68AdmYNygeTGI4RC18,J Balvin,LA CANCIÓN,90,0.152,0.754,242573,0.646,1.85e-05,7,0.108,-5.795,1,0.317,176.089,4,0.429
111,0jBJIQuToUUOEx7JJkiPzm,Flipp Dinero,How I Move (feat. Lil Baby),80,0.102,0.826,224916,0.635,0.0,5,0.245,-5.181,0,0.212,119.954,4,0.808
112,4a6q8CR2hzLk2plDkSxkfD,Bazzi,I.F.L.Y.,85,0.379,0.812,165714,0.519,0.0,2,0.13,-4.823,1,0.0385,104.954,4,0.554
113,5bvnqVuq7UFl0txSlHpsfS,PARTYNEXTDOOR,Loyal (feat. Drake),84,0.517,0.866,197973,0.53,0.00159,0,0.0946,-6.347,0,0.0495,104.952,4,0.203
114,2zjGJ0dChMR0KxBZS15aqo,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",81,0.189,0.883,174100,0.525,0.0,2,0.0971,-8.054,0,0.0633,99.978,4,0.312
115,6IRdLKIyS4p7XNiP8r6rsx,Billie Eilish,all the good girls go to hell,86,0.283,0.726,168840,0.444,0.143,8,0.177,-8.922,0,0.372,185.044,4,0.569
116,4e0FYxSROat25pH16zMTZI,Lil Tecca,Love Me,82,0.632,0.719,117013,0.538,0.0,11,0.135,-6.897,0,0.28,204.132,4,0.803
117,4ZT9FnbFu1PaBfV3itxiqT,Lil Skies,I,80,0.627,0.649,181891,0.453,0.0,6,0.116,-7.28,1,0.085,99.183,4,0.431
118,5KBARWIxeMGkvUax9VtVC9,Saweetie,My Type,80,0.000677,0.899,126446,0.811,0.0,2,0.0672,-6.294,1,0.258,105.038,4,0.587
119,1Cv1YLb4q0RzL6pybtaMLo,Surfaces,Sunday Best,84,0.183,0.878,158571,0.525,0.0,5,0.0714,-6.832,1,0.0578,112.022,4,0.694
120,7DcvwMAiqKJQD1rrdfxSDx,Young Thug,The London (feat. J. Cole & Travis Scott),82,0.0247,0.796,200107,0.586,0.0,4,0.132,-6.946,0,0.147,97.981,4,0.179
121,05mDaV9Vb3wrzjF6OPZnhq,Post Malone,Saint-Tropez,83,0.0545,0.617,150867,0.684,0.0,0,0.104,-3.618,1,0.0439,132.113,4,0.295
122,2rTnVB1bvwxHtaIl4uVu7f,H.E.R.,Slide,80,0.0807,0.827,238321,0.469,8.12e-06,10,0.207,-9.141,0,0.341,97.028,4,0.196
123,7sWRlDoTDX8geTR8zzr2vt,Post Malone,Hollywood's Bleeding,83,0.331,0.405,156267,0.646,0.0,4,0.103,-3.206,0,0.0476,130.218,4,0.17
124,4evmHXcjt3bTUHD1cvny97,Ed Sheeran,Beautiful People (feat. Khalid),88,0.124,0.64,197867,0.648,0.0,5,0.0802,-8.113,0,0.187,92.977,4,0.548
125,5aZQrb2TXWEh9uZR4HEY3r,Luke Combs,Even Though I'm Leaving,79,0.225,0.554,225253,0.755,0.0,2,0.301,-6.04,1,0.0319,77.962,4,0.624
126,6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,Dancing With A Stranger (with Normani),87,0.45,0.741,171030,0.52,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,4,0.347
127,6LcauUZjF1eXQrgqMUecHX,Tyga,Ayy Macarena,91,0.133,0.816,131607,0.63,0.0,2,0.0692,-5.568,1,0.226,96.493,4,0.715
128,4vSoyDfL0uZyUoWu5NNNsQ,YoungBoy Never Broke Again,Self Control,78,0.0349,0.82,185866,0.697,0.0,6,0.197,-7.296,0,0.378,154.992,4,0.629
129,3XF5xLJHOQQRbWya6hBp7d,Billie Eilish,you should see me in a crown,84,0.462,0.678,180953,0.533,0.219,4,0.139,-10.485,1,0.186,150.455,4,0.323
130,2IOFZdYYkFxEHVz1w34PoL,Harry Styles,Cherry,82,0.615,0.53,259187,0.512,0.00453,7,0.129,-9.261,1,0.0259,95.946,4,0.411
131,5MPPttjfGap2C6j6eKcO6J,Quality Control,Baby (Lil Baby feat. DaBaby),79,0.0957,0.97,142417,0.463,0.0,10,0.151,-7.259,1,0.366,108.003,4,0.46
132,45S5WTQEGOB1VHr1Q4FuPl,Harry Styles,Golden,82,0.21,0.448,208907,0.838,0.000131,4,0.131,-5.257,0,0.0557,139.863,4,0.254
133,3npzogdOEiVsieXmmhBepL,Maren Morris,The Bones,79,0.279,0.612,197293,0.57,0.0,11,0.0963,-6.642,0,0.0347,77.004,4,0.335
134,3WyRgi8CzQnhzO0xw79tTS,DaBaby,Goin Baby,79,0.128,0.755,141827,0.772,0.0,6,0.157,-5.585,1,0.4,132.906,4,0.678
135,1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,84,0.492,0.359,221307,0.543,1.58e-05,7,0.118,-7.582,1,0.0919,68.534,4,0.453
136,7qvsl2pYzrsYgPeFBN5jxp,Doja Cat,Juicy,81,0.0856,0.786,202333,0.658,0.0,0,0.0689,-2.61,1,0.0661,170.037,4,0.458
137,6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,Panini,83,0.342,0.703,114893,0.594,0.0,5,0.123,-6.146,0,0.0752,153.848,4,0.475
138,0Rx0DJI556Ix5gBny6EWmn,Bazzi,Paradise,82,0.0828,0.844,169038,0.644,0.0,11,0.113,-6.273,0,0.0479,122.061,4,0.591
139,3cphb8kdsjElYR7r5icK3H,Niall Horan,Nice To Meet Ya,86,0.0119,0.591,158805,0.841,0.0,4,0.395,-4.351,0,0.0304,109.034,4,0.392
140,0JQ5MbyriK6ruD3t6RZ7ix,Tones and I,Never Seen The Rain,85,0.43,0.672,200742,0.464,0.0,6,0.284,-5.624,0,0.037,92.069,4,0.271
141,41MCdlvXOl62B7Kv86Bb1v,Juice WRLD,Empty,80,0.0758,0.745,248431,0.561,0.0,0,0.133,-4.869,1,0.0807,77.557,4,0.449
142,3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,I Don't Care (with Justin Bieber),89,0.0912,0.798,219947,0.675,0.0,6,0.0894,-5.041,1,0.0442,101.956,4,0.842
143,4CxFN5zON70B3VOPBYbd6P,Jeremy Zucker,you were good to me,82,0.913,0.561,219147,0.0848,2.62e-05,2,0.112,-15.099,1,0.0404,102.128,4,0.206
144,4Of7rzpRpV1mWRbhp5rAqG,Lewis Capaldi,Bruises,86,0.946,0.736,220492,0.308,0.0,4,0.186,-7.83,1,0.0677,111.202,4,0.361
145,2Hc4t9N2nt37oO4sF9BynI,Gabby Barrett,I Hope,77,0.0951,0.561,209229,0.536,0.0,6,0.114,-6.227,1,0.0346,150.014,4,0.378
146,2xyx0o4xNOLLjBSbOOdcbA,Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,80,0.603,0.726,143227,0.408,0.0,11,0.225,-6.606,0,0.0614,115.918,4,0.459
147,6TqXcAFInzjp0bODyvrWEq,Khalid,Talk (feat. Disclosure),82,0.051,0.901,197573,0.4,0.0,0,0.0599,-8.575,1,0.126,135.984,4,0.346
148,3TTMUI5dFcbeNSDTTDY9M8,Summer Walker,Come Thru (with Usher),80,0.159,0.679,181013,0.728,0.0,5,0.107,-3.092,0,0.154,152.001,4,0.46
149,6iYMfxznTBlcVOgRHab2W0,Harry Styles,"Sunflower, Vol. 6",81,0.000564,0.566,221827,0.846,0.000795,7,0.121,-6.904,0,0.035,160.02,4,0.86
150,6vWEAOUSxohKxhp0K1BsxL,YNW Melly,Mixed Personalities (feat. Kanye West),80,0.457,0.661,230400,0.44,0.0,2,0.128,-9.104,1,0.0803,149.937,4,0.352
