,song_id,artist_name,track_name,popularity,year
138,439TlnnznSiBbQbgXiBqAd,Kendrick Lamar,m.A.A.d city,66,2019
139,3aGibUHhQyBsyumYHylw0K,Kendrick Lamar,Backseat Freestyle,66,2019
140,1NpW5kyvO4XrNJ3rnfcNy3,Flo Rida,Wild Ones (feat. Sia),75,2019
141,3AGOgQzp0YcPH41u9p7dOp,The Wanted,Glad You Came,67,2019
142,3GZD6HmiNUhxXYf8Gch723,Frank Ocean,Lost,66,2019
143,5PuKlCjfEVIXl0ZBp5ZW9g,Michael Bublé,Holly Jolly Christmas,74,2019
144,6REbwUNlppTfcnV4d4ZoZi,Kendrick Lamar,Swimming Pools (Drank),70,2019
145,25cUhiAod71TIQSNicOaW3,Miguel,Adorn,66,2019
146,7kSLdGdXLey7pzLsWpdg1h,One Direction,Little Things,76,2019
147,1dEy9Pl81QopSxNsPxXQxv,Rihanna,Stay,67,2019
148,55h7vJchibLdUkxdlX3fK7,Bruno Mars,Treasure,75,2019
149,1T20tqHKrePjszGOdbFOEd,Victorious Cast,Take A Hint,66,2019
150,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,80,2019
151,03fT3OHB9KyMtGMt2zwqCT,Luke Bryan,Play It Again,74,2019
152,4h8VwCb1MTGoLKueQ1WgbD,Avicii,Wake Me Up,83,2019
153,0JmiBCpWc1IAc0et7Xm7FL,Passenger,Let Her Go,75,2019
154,3xdjjKMcMOFgo1eQrfbogM,Darius Rucker,Wagon Wheel,74,2019
155,0qcr5FMsEO85NAQjrlDRKo,Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",75,2019
156,2PwXOevGUSkU8qaYZjgLq2,Kodaline,All I Want,71,2019
157,2ZltjIqztEpZtafc8w0I9t,Childish Gambino,3005,74,2019
158,5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,Do I Wanna Know?,81,2019
159,4X5f3vT8MRuXF68pfjNte5,A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",76,2019
160,2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,Cigarette Daydreams,71,2019
161,2dLLR6qlu5UJ5gk0dKz0h3,Lorde,Royals,78,2019
162,4nVBt6MZDDP6tRVdQTgxJg,One Direction,Story of My Life,79,2019
163,7FOJvA3PxiIU0DN3JjQ7jT,J. Cole,Power Trip,72,2019
164,6or1bKJiZ06IlK0vFvY75k,Eminem,Rap God,77,2019
165,3gbBpTdY8lnQwqxNCcf795,Bastille,Pompeii,69,2019
166,0aMHIW1lqrulVCx0LLlr6a,Chance the Rapper,Cocoa Butter Kisses,71,2019
167,2aSC2xhRxOLiiZZVjhbylH,Drake,"Hold On, We're Going Home",69,2019
168,2y4lAQpi5VTNLu2ldeTdUH,Miley Cyrus,We Can't Stop,77,2019
169,00GOPLxW4PGQuUYdPJh8K1,Childish Gambino,IV. Sweatpants,71,2019
170,2MvvoeRt8NcOXWESkxWn3g,Lorde,Ribs,72,2019
171,3YZE5qDV7u1ZD1gZc47ZeR,Kelly Clarkson,Underneath the Tree,68,2019
172,79MSEdtXuudhGhC5AtG07g,PARTYNEXTDOOR,Break from Toronto,72,2019
173,5Mw9bXG1dLNhbjofkVS2oR,Hillsong UNITED,Oceans (Where Feet May Fail),69,2019
174,5anCkDvJ17aznvK5TED5uo,Avenged Sevenfold,Hail to the King,74,2019
175,3IPnBzGRMg6BfViFxxa0Gq,Kristen Bell,"Love Is an Open Door - From ""Frozen""/Soundtrack Version",71,2019
176,0GaBIpyHvytM1UBYmqXu08,Drake,From Time,68,2019
177,2yi7HZrBOC4bMUSTcs4VK6,Kristen Bell,"Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version",71,2019
178,1yjY7rpaAQvKwpdUliHx0d,Paramore,Still into You,73,2019
179,722tgOgdIbNe3BEyLnejw4,Kanye West,Black Skinhead,74,2019
180,1j8z4TTjJ1YOdoFEDwJTQa,Paramore,Ain't It Fun,72,2019
181,2nMeu6UenVvwUktBCpLMK9,Lana Del Rey,Young And Beautiful,75,2019
182,6Z8R6UsFuGXGtiIxiD8ISb,Capital Cities,Safe And Sound,76,2019
183,5qEn8c0MBzyRKgQq91Vevi,Fitz and The Tantrums,Out of My League,68,2019
184,2wBCrtJS3E3TimRZ5MElTI,Jhené Aiko,The Worst,69,2019
185,7xVLFuuYdAvcTfcP3IG3dS,A$AP Ferg,"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)",71,2019
186,4rHZZAmHpZrA3iH5zx8frV,Justin Timberlake,Mirrors,76,2019
187,6TEiFwaiHERpdfG6WnGed1,Current Joys,New Flesh,70,2019
188,5cbpoIu3YjoOwbBDGUEp3P,Twenty One Pilots,Car Radio,73,2019
189,5KONnBIQ9LqCxyeSPin26k,Jason Derulo,Trumpets,67,2019
190,2LvRR121MWFmmEGkuV2vQP,B.o.B,HeadBand (feat. 2 Chainz),69,2019
191,6F5c58TMEs1byxUstkzVeM,Katy Perry,Roar,77,2019
192,7y911sqgHGHcyU4ivapjwi,Drake,All Me,66,2019
193,5jrdCoLpJSvHHorevXBATy,Katy Perry,Dark Horse,76,2019
194,3yZQk5PC52CCmT4ZaTIKvv,Panic! At The Disco,This Is Gospel,71,2019
195,5HGibWoxnkYSkl6mHmAlOE,Luke Bryan,That's My Kind Of Night,68,2019
196,7s0lDK7y3XLmI7tcsRAbW0,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),68,2019
197,5DI9jxTHrEiFAhStG7VA8E,Drake,Started From the Bottom,67,2019
198,575DZcL4PtBm3qoFdilkq8,Tmsoft’s White Noise Sleep Sounds,Box Fan Sound,67,2019
199,6YJdPrH3i2POzu7hdHIRrb,Ariana Grande,Santa Baby,73,2019
200,62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,81,2019
201,3JvrhDOgAt6p7K8mDyZwRd,Vance Joy,Riptide,77,2019
202,1CS7Sd1u5tWkstBhpssyjP,Hozier,Take Me to Church,75,2019
203,6Ius4TC0L3cN74HT7ENE6e,J. Cole,Wet Dreamz,78,2019
204,5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,Stay With Me,83,2019
